Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Notice Encouraging Individual Mentored Career Development K08 and K23 Applications Utilizing the National Drug Abuse Treatment Clinical Trials Network (CTN) Resources,1/17/2018,,,NIDA,NIH,None,NOT-DA-18-001,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-18-001.html
HHS issues Four (4) PHS 2018-2 SBIR and STTR Omnibus/Parent Grant Solicitations with FORMS-E and Clinical Trials Policy Updates,1/16/2018,,,NIH,NIH,FDA,NOT-OD-18-123,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-123.html
RESCINDED - Notice of Intent to Publish a Funding Opportunity Announcement for National Dental Practice-Based Research Network: Administrative and Resource Center (U19 Clinical Trial Required - Infrastructure ),1/16/2018,,,NIDCR,NIH,None,NOT-DE-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-18-003.html
RESCINDED - Notice of Intent to Publish a Funding Opportunity Announcement for National Dental Practice-Based Research Network: Coordinating Center (U01 Clinical Trial Required - Infrastructure ),1/16/2018,,,NIDCR,NIH,None,NOT-DE-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-18-004.html
Notice of Change in Bench Testing Therapeutic/Indication Pairing Strategies (UG3/UH3) (PAR-17-465),1/16/2018,,,NCATS,NIH,None,NOT-TR-18-016,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-18-016.html
"Notice of Modifications for PAR-18-244 ""Collaborative Innovation Award, Clinical and Translational Science Award (CTSA) Program (U01 Clinical Trial Optional)""",1/16/2018,,,NCATS,NIH,None,NOT-TR-18-013,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-18-013.html
"Correction to the Application Forms Package issued for PAR-17-338 ""Continuation of Existing Grant Based Epidemiology Cohort Studies in Heart, Lung, Blood, and Sleep Diseases and Disorders (U01-Clinical Trials Not Allowed)""",1/16/2018,,,NHLBI,NIH,None,NOT-HL-18-581,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-581.html
Correction to the Application Forms Package issued for PAR-18-18-407 Clinical Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative UG3/UH3 Clinical Trial Required),1/12/2018,,,NHLBI,NIH,None,NOT-HL-18-580,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-580.html
"Notice of Expiration of PAR-17-277 ""NIH StrokeNet Clinical Trials and Biomarker Studies for Stroke Treatment, Recovery, and Prevention Infrastructure Resource Access (X01)""",1/12/2018,,,NINDS,NIH,None,NOT-NS-18-036,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-036.html
"Notice of Expiration of PAR-16-447 "" NIAMS Clinical Trial Implementation Cooperative Agreement (U01)",1/12/2018,,,NIAMS,NIH,None,NOT-AR-18-014,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-18-014.html
Correction to the Application Forms Package issued for PAR-18-410 Data Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative U24 Clinical Trial Required),1/12/2018,,,NHLBI,NIH,None,NOT-HL-18-579,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-579.html
"RESCINDED - Notice of Clarification of Applications Relevant to PAR-17-046 ""Exploratory Research for Technology Development (R21)""",1/12/2018,,,NIGMS,NIH,None,NOT-GM-18-014,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-18-014.html
"Notice of Expiration of PAR-17-145 ""NINDS Postdoctoral Mentored Career Development Award (K01)""",1/12/2018,,,NINDS,NIH,None,NOT-NS-18-034,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-034.html
"Notice of Expiration of PAR-16-269 ""NIAID Clinical Trial Implementation Grant (R01)""",1/12/2018,,,NIAID,NIH,None,NOT-AI-18-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-18-009.html
Notice of Intent to Publish a Funding Opportunity Announcement to Support New Applications in Regenerative Medicine Innovation Projects (RMIP) (UG3/UH3 - Clinical Trial Required),1/12/2018,,,NHLBI,NIH,"NCATS, NEI, NIA, NIAID, NIAMS, NIBIB, NIDCD, NIDCR, NIDDK, NIMH, NINDS, FDA",NOT-HL-18-573,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-573.html
Notice of Intent to Publish a Funding Opportunity Announcement to Support New Applications in Regenerative Medicine Innovation Projects (RMIP) (U01 - Clinical Trial Not Allowed),1/12/2018,,,NHLBI,NIH,"NCATS, NEI, NIA, NIAID, NIAMS, NIBIB, NIDCD, NIDCR, NIDDK, NIMH, NINDS, FDA",NOT-HL-18-574,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-574.html
Notice of Intent to Publish a Funding Opportunity Announcement to Support New Applications in Regenerative Medicine Innovation Projects (RMIP) (UT1/UT2 - Clinical Trial Required),1/12/2018,,,NHLBI,NIH,"NCATS, NEI, NIA, NIAID, NIBIB, NIDCD, NIDCR, NIDDK, NIMH, NINDS, FDA",NOT-HL-18-575,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-575.html
Notice of Intent to Publish a Funding Opportunity Announcement to Support New Applications in Regenerative Medicine Innovation Projects (RMIP) (UT1/UT2 - Clinical Trial Not Allowed),1/12/2018,,,NHLBI,NIH,"NCATS, NEI, NIA, NIAID, NIAMS, NIBIB, NIDCD, NIDCR, NIDDK, NIMH, NINDS, FDA",NOT-HL-18-576,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-576.html
Notice of Intent to Publish a Funding Opportunity Announcement to Support New Applications in Regenerative Medicine Innovation Projects (RMIP) (U43/U44 - Clinical Trial Required),1/12/2018,,,NHLBI,NIH,"NCATS, NEI, NHLBI, NIA, NIAID, NIBIB, NIDCD, NIDCR, NIDDK, NIMH, NINDS, FDA",NOT-HL-18-577,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-577.html
Notice of Intent to Publish a Funding Opportunity Announcement to Support New Applications in Regenerative Medicine Innovation Projects (RMIP) (U43/U44 - Clinical Trial Not Allowed),1/12/2018,,,NHLBI,NIH,"NCATS, NEI, NIA, NIAID, NIAMS, NIBIB, NIDCD, NIDCR, NIDDK, NIMH, NINDS, FDA",NOT-HL-18-578,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-18-578.html
"Reminder: Updated Appendix Policy Eliminates Clinical Trial-Related Materials for NIH/AHRQ/NIOSH Applications Submitted to Due Dates on or After January 25, 2018",1/12/2018,,,NIH,NIH,None,NOT-OD-18-126,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-126.html
NHLBI Announces Plan to Fund a Framingham Heart Study Exam,1/12/2018,,,NHLBI,NIH,None,NOT-HL-17-572,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-17-572.html
"NIH Operates Under a Continuing Resolution Through January 19, 2018",1/12/2018,,,NIH,NIH,None,NOT-OD-18-124,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-124.html
Clarification on the Number of Applications Allowed Per Organization for RFA-DK-17-018: Ancillary Studies to the NIDDK Inflammatory Bowel Disease Genetics Consortium (R21 Clinical Trial Optional),1/11/2018,,,NIDDK,NIH,None,NOT-DK-18-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-18-008.html
Clarification on the Number of Applications Allowed Per Organization for RFA-DK-17-017: Ancillary Studies to the NIDDK Inflammatory Bowel Disease Genetics Consortium (R01 Clinical Trial Optional),1/11/2018,,,NIDDK,NIH,None,NOT-DK-18-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-18-007.html
"Notice of Correction to the Number of Applications per Institution Allowed for RFA DE-18-012, ""NIDCR Dental Specialty and PhD Program (DSPP) (K12) Clinical Trial Not Allowed)"".",1/11/2018,,,NIDCR,NIH,None,NOT-DE-18-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-18-005.html
Notice of Clarification of Studies Appropriate for PA-18-010: Diet and Physical Activity Assessment Methodology (R01 Clinical Trial Optional),1/11/2018,,,NIDDK,NIH,"NCI, NHLBI, NIAAA, ODS, NCCIH",NOT-DK-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-18-004.html
"Notice of Corrected Expiration Date for PA-15-354 ""SBIR Technology Transfer (R43/R44)""",1/11/2018,,,NINDS,NIH,"NCATS, NCI, NEI, NIAAA, NIDA, NIDCR, NINR",NOT-NS-18-031,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-031.html
"Notice of Expiration of PAR-16-340 ""Career Transition Award for NINDS Intramural Clinician-Scientists (K22)""",1/11/2018,,,NINDS,NIH,None,NOT-NS-18-035,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-035.html
"Notice of Corrected Expiration Date and Intent to Reissue PAR-15-278 ""NINDS Exploratory Clinical Trials for Small Business (R42)""",1/11/2018,,,NINDS,NIH,None,NOT-NS-18-033,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-033.html
"Notice of Corrected Expiration Date and Intent to Reissue PAR-15-277 ""NINDS Exploratory Clinical Trials for Small Business (R44)""",1/11/2018,,,NINDS,NIH,None,NOT-NS-18-032,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-032.html
"Notice of Expiration of PAR-15-195 ""NeuroNEXT Infrastructure Resource Access (X01)""",1/11/2018,,,NINDS,NIH,None,NOT-NS-18-037,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-037.html
"Notice of Key Date Changes for RFA-EY-17-003 ""NEI Audacious Goals Initiative: Translation-Enabling Models to Evaluate Survival and Integration of Regenerated Neurons in the Visual System (U24 Clinical Trials Not Allowed)""",1/11/2018,,,NEI,NIH,None,NOT-EY-18-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EY-18-005.html
"NIBIB Notice of Clarification of Preliminary Data and Clinical Trials Support for PAR-18-207, NIBIB Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional)",1/10/2018,,,NIBIB,NIH,None,NOT-EB-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-18-003.html
"Notice of NIDCD Withdrawal from Participation in PAR-18-214 ""Translational Research in Pediatric and Obstetric Pharmacology and Therapeutics (R21 Clinical Trial Optional)""",1/10/2018,,,NIDCD,NIH,None,NOT-DC-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DC-18-004.html
"Notice of NIDCD Withdrawal from Participation in PAR-18-215 ""Translational Research in Pediatric and Obstetric Pharmacology and Therapeutics (R01 Clinical Trial Optional)""",1/10/2018,,,NIDCD,NIH,None,NOT-DC-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DC-18-003.html
"Notice of NIDCR's Participation in PAR-18-530 "" Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Optional)""",1/10/2018,,,NIDCR,NIH,None,NOT-DE-18-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-18-008.html
"Notice of NIDCR's Participation in PAR-18-009 ""Academic-Industrial Partnerships to Translate and Validate in vivo Cancer Imaging Systems (R01 Clinical Trial Optional)""",1/10/2018,,,NIDCR,NIH,None,NOT-DE-18-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-18-007.html
"NIDCR Announces a Pre-Application Webinar and the Availability of Answers to Questions for RFA DE-18-012 ""NIDCR Dental Specialty and PhD Program (DSPP) (K12 Clinical Trial Not Allowed)""",1/10/2018,,,NIDCR,NIH,None,NOT-DE-18-006,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-18-006.html
"Notice of Clarification to RFA-AI-17-042, Centers of Excellence for Translational Research (CETR) (U19 Clinical Trial Not Allowed)",1/10/2018,,,NIAID,NIH,None,NOT-AI-18-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-18-011.html
Notice of Clarification of Studies Appropriate for PAR-18-112: Diet and Physical Activity Assessment Methodology (R21 Clinical Trial Optional),1/10/2018,,,NIDDK,NIH,"NCI, NHLBI, NIAAA, NICHD, NINR, ODS",NOT-DK-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-18-003.html
"Notice of Intent to Publish a Funding Opportunity Announcement for Health Services and Economic Research on the Prevention and Treatment of Drug, Alcohol, and Tobacco Abuse (R01, Clinical Trial Optional)",1/9/2018,,,NIDA,NIH,NIAAA,NOT-DA-17-058,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-17-058.html
Notice of Plans to Allow 13 NIDA Program Announcements to Expire Without Renewal and Guidance to Applicants on how to Apply for Research Grants in Those Topic Areas,1/9/2018,,,NIDA,NIH,None,NOT-DA-17-065,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-17-065.html
Notice of Correction for PAR-18-464: Clinical and Translational Science Award (U54 Clinical Trial Optional),1/4/2018,,,NCATS,NIH,None,NOT-TR-18-015,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-18-015.html
RESCINDED - Update: Notice of NIH's Interest in Diversity,1/3/2018,,,NIH,NIH,None,NOT-OD-18-122,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-122.html
"Notice of Pre-Application Webinar for the Common Fund Human Biomolecular Atlas Program (HuBMAP) RFAs (RFA-RM-17-025, RFA-RM-17-027)",12/22/2017,,,OSC,NIH,None,NOT-RM-18-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-18-008.html
"Notice of NIMHD Participation in RFA-HL-19-007 ""Limited Competition: Data Analysis and Coordination Center for the MACS/WIHS Combined Cohort Study (MACS/WIHS-CCS) (U01 Clinical Trial Not Allowed)""",12/22/2017,,,NIMHD,NIH,None,NOT-MD-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-18-003.html
RESCINDED - Maintaining Integrity in NIH Peer Review: Responsibilities and Consequences,12/22/2017,,,NIH,NIH,None,NOT-OD-18-115,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-115.html
FINDINGS OF RESEARCH MISCONDUCT,12/21/2017,,,NIH,NIH,None,NOT-OD-18-121,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-121.html
"Notice of NIDDK's Participation in PAR-18-189 ""Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional)""",12/21/2017,,,NIDDK,NIH,None,NOT-DK-18-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-18-005.html
"Notice of Correction to Eligibility Information in PAR-17-190 ""Maximizing Investigators' Research Award for Early Stage Investigators (R35)""",12/21/2017,,,NIGMS,NIH,None,NOT-GM-18-013,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-18-013.html
"Notice of Correction to Key Dates for PAR-18-022 ""Tobacco Use and HIV in Low and Middle Income Countries (R21 Clinical Trial Optional)""",12/21/2017,,,NCI,NIH,None,NOT-CA-18-030,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-18-030.html
"Notice of NIMHD Participation in RFA-HL-19-008 ""Limited Competition: Clinical Research Sites for the MACS/WIHS Combined Cohort Study (MACS/WIHS-CCS) (U01 Clinical Trial Not Allowed)""",12/21/2017,,,NIMHD,NIH,None,NOT-MD-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-18-004.html
"Notice of Changes in PAR-16-149 ""Archiving and Documenting Child Health and Human Development Data Sets (R03)""",12/21/2017,,,NICHD,NIH,None,NOT-HD-17-028,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-17-028.html
"Notice of Correction to PA-18-517, ""Innovation Corps (I-Corps) at NIH Program for NIH and CDC Translational Research (Admin Supp - Clinical Trial Not Allowed)""",12/21/2017,,,NCI,NIH,None,NOT-CA-18-034,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-18-034.html
"Notice of NIDDK's Participation in PAR-18-190 ""Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional)""",12/21/2017,,,NIDDK,NIH,None,NOT-DK-18-006,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-18-006.html
NIH Applicant Assistance Program (AAP) for New or Previously Unawarded Small Businesses,12/21/2017,,,NCI,NIH,"NHLBI, NINDS",NOT-CA-18-031,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-18-031.html
"Notice of NEI Participation in PAR-18-501 ""BRAIN Initiative: Development, Optimization, and Validation of Novel Tools and Technologies for Neuroscience Research (SBIR)(R43/R44 Clinical Trial Not Allowed)""",12/21/2017,,,NEI,NIH,None,NOT-EY-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EY-18-003.html
"Notice of NEI Participation in PAR-18-515 ""BRAIN Initiative: Development, Optimization, and Validation of Novel Tools and Technologies for Neuroscience Research (STTR)(R41/R42 Clinical Trial Not Allowed)""",12/21/2017,,,NEI,NIH,None,NOT-EY-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EY-18-004.html
Notice of Change to Receipt Date on NIH-CASIS Coordinated Microphysiological Systems Program for Translational Research in Space (UG3/UH3 Clinical Trials Not Allowed) (RFA-TR-18-001),12/19/2017,,,NCATS,NIH,None,NOT-TR-18-014,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-18-014.html
"Notice of NIAMS' Participation in PA-18-394 "" Midcareer Investigator Award in Patient-Oriented Research (Parent K24 - No Independent Clinical Trials)""",12/19/2017,,,NIAMS,NIH,None,NOT-AR-18-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-18-011.html
"Notice of NIAMS' Participation in PA-18-375 ""Mentored Patient-Oriented Research Career Development Award (Parent K23 -Independent Clinical Trial Not Allowed)""",12/19/2017,,,NIAMS,NIH,None,NOT-AR-18-010,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-18-010.html
"Notice of Participation of the National Institute of Environmental Health Sciences in PA-18-395 ""Mentored Quantitative Research Development Award (Parent K25 - Clinical Trial Required)""",12/19/2017,,,NIEHS,NIH,None,NOT-ES-18-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-18-007.html
Revision: NIH Policy and Guidelines on the Inclusion of Individuals Across the Lifespan as Participants in Research Involving Human Subjects,12/19/2017,,,NIH,NIH,None,NOT-OD-18-116,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-116.html
"NIH Operates Under a Continuing Resolution Through December 22, 2017",12/19/2017,,,NIH,NIH,None,NOT-OD-18-120,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-120.html
Notice Announcing the Removal of the Funding Pause for Gain-of-Function Research Projects   ,12/19/2017,,,NIH,NIH,None,NOT-OD-17-071,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-17-071.html
"Notice of NINDS Policy for Submission of Applications and Participation in PA-18-345 ""NIH Research Project Grant (Parent R01) - Clinical Trial Required"". NINDS Only accepts Clinical Trial Applications Proposing Mechanistic Studies for Clinical Trial Parent R01",12/18/2017,,,NINDS,NIH,None,NOT-NS-18-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-011.html
"Notice of NINDS Withdrawal from Participation in PA-18-286 ""Exploratory/Developmental Bioengineering Research Grants (EBRG) (R21 Clinical Trial Optional)""",12/18/2017,,,NINDS,NIH,None,NOT-NS-18-030,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-030.html
"Notice of Participation of the National Institute of Environmental Health Sciences  in PA-18-397 ""NIH Pathway to Independence Award (Parent K99/R00 - Independent Clinical Trial Required""",12/18/2017,,,NIEHS,NIH,None,NOT-ES-18-006,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-18-006.html
"Notice of Clarification of NINDS Statement of interest for ""Bioengineering Research Partnerships (BRP) (U01 Clinical Trial Optional)""",12/18/2017,,,NINDS,NIH,None,NOT-NS-18-029,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-029.html
Notice to Clarify the Types of Clinical Trials NIBIB Will Supported Under PAR-18-208 Bioengineering Research Partnerships (U01 Clinical Trial Optional),12/18/2017,,,NIBIB,NIH,None,NOT-EB-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-18-004.html
"Notice of Participation of National Institute of Allergy and Infectious Diseases (NIAID) on PAR-18-333"" Understanding the Early Development of the Immune System (R01 - Clinical Trial Not Allowed)""",12/18/2017,,,NIAID,NIH,None,NOT-AI-18-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-18-008.html
"Notice of Change to Award Information in RFA-AI-17-040 ""Cooperative Centers on Human Immunology (U19 Clinical Trial Optional""",12/18/2017,,,NIAID,NIH,None,NOT-AI-18-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-18-007.html
"Notice of NINDS' Participation in PA-18-403 ""Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32)""",12/14/2017,,,NINDS,NIH,None,NOT-NS-18-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-022.html
"Notice of Participation of the National Institute of Environmental Health Sciences  in PA-18-372 "" Mentored Clinical Scientist Research Career Development Award (Parent K08 - Independent Clinical Trial Required)""",12/14/2017,,,NIEHS,NIH,None,NOT-ES-18-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-18-003.html
"Notice of Participation of the National Institute of Environmental Health Sciences  in PA-18-374 ""Mentored Patient-Oriented Research Career Development Award (Parent K23 - Clinical Trial Required)""",12/14/2017,,,NIEHS,NIH,None,NOT-ES-18-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-18-004.html
"Notice of Participation of the National Institute of Environmental Health Sciences  in PA-18-393 ""Midcareer Investigator Award in Patient-Oriented Research (Parent K24 Clinical Trial Required)""",12/14/2017,,,NIEHS,NIH,None,NOT-ES-18-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-18-005.html
Notice to Clarify the Types of Clinical Trials NIBIB Will Support Under PAR-18-206 Bioengineering Research Grants (BRG) (R01 Clinical Trial Optional),12/14/2017,,,NIBIB,NIH,None,NOT-EB-18-002,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-18-002.html
"Notice of Clarification of NINDS Statement of interest for ""Bioengineering Research Grants (BRG) (R01 Clinical Trial Optional)""",12/14/2017,,,NINDS,NIH,None,NOT-NS-18-028,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-028.html
"Reminder: Annual Reports to the Office of Laboratory Animal Welfare due January 31, 2018",12/14/2017,,,NIH,NIH,None,NOT-OD-18-117,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-117.html
"Notice of NIAMS' Participation in PA-18-398 ""NIH Pathway to Independence Award (Parent K99/R00 - Independent Clinical Trial Not Allowed""",12/13/2017,,,NIAMS,NIH,None,NOT-AR-18-012,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-18-012.html
"Notice of Clarification on Award Project Period for PAR-17-003 ""Revision Applications for Validation of Biomarker Assays Developed Through NIH-Supported Research Grants (R01)""",12/13/2017,,,NCI,NIH,None,NOT-CA-18-026,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-18-026.html
"NIBIB Notice to Clarify the Types of Clinical Trials NIBIB Will Support Under PAR-18-205, NIBIB Biomedical Technology Resource Centers (P41 Clinical Trial Optional)",12/13/2017,,,NIBIB,NIH,None,NOT-EB-18-001,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-18-001.html
Notice of National Institute of Neurological Disorders and Stroke (NINDS) and National Institute on Drug Abuse (NIDA) Interest in Blueprint Neurotherapeutic Network Applications Directed at Small Molecule Non-Addictive Pain Therapies,12/13/2017,,,NINDS,NIH,NIDA,NOT-NS-18-027,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-027.html
Notice of Cancellation of the October 2018 Receipt Date for RFA-FD-16-043,12/13/2017,,,FDA,FDA,OPD,NOT-FD-18-006,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-FD-18-006.html
"Notice of Participation of the National Institute of Environmental Health Sciences  in PA-18-370 ""Independent Scientist Award (Parent K02 - Independent Clinical Trial Required)""",12/13/2017,,,NIEHS,NIH,None,NOT-ES-18-002,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-18-002.html
"Additional Short-Term Administrative Relief to Institutions Impacted by Hurricanes Harvey, Irma, and Maria",12/12/2017,,,NIH,NIH,None,NOT-OD-18-114,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-114.html
"NHLBI Announces Participation in PA-18-404 ""Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Research Training Grant (Parent T35)""",12/11/2017,,,NHLBI,NIH,None,NOT-HL-17-560,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-17-560.html
"Notice of NIA Participation in PAR-17-486: ""Short-term Mentored Career Enhancement Awards for Mid-Career Investigators to Integrate Basic Behavioral and Social Sciences (K18 Clinical Trial Required)""",12/11/2017,,,NIA,NIH,None,NOT-AG-17-027,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-17-027.html
Request for Information on the Office of Disease Prevention Strategic Plan for Fiscal Years (FY) 20192023,12/11/2017,,,ODP,NIH,NIH,NOT-OD-18-118,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-18-118.html
Collaborative Research in Computational Neuroscience (CRCNS) NSFInnovative Approaches to Science and Engineering Research on Brain Function,12/11/2017,,,NIMH,NIH,"NEI, NIA, NIAAA, NIBIB, NIDA, NIDCD, NINDS, NCCIH",NOT-MH-18-012,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-18-012.html
"Reminder of Required Letter of Support for PAR-17-094 ""Maximizing Investigators Research Award (R35)""",12/11/2017,,,NIGMS,NIH,None,NOT-GM-18-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-18-011.html
Notice of Intent to Publish a Funding Opportunity Announcement for Synthetic Psychoactive Drugs and Strategic Approaches to Counteract Their Deleterious Effects (R01 ),12/11/2017,,,NIDA,NIH,None,NOT-DA-17-064,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-17-064.html
"Notice of Change in Eligibility for PAR-17-094 ""Maximizing Investigators Research Award (R35)""",12/11/2017,,,NIGMS,NIH,None,NOT-GM-18-012,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-18-012.html
"Notice of Expiration of RFA-RM-17-010 ""Limited Competition - Stimulating Peripheral Activity to Relieve Conditions (SPARC):  Technologies to Understand the Control of Organ Function by the Peripheral Nervous System (OT2)",12/8/2017,,,OSC,NIH,None,NOT-RM-18-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-18-011.html
"Notice of Expiration of PAR-15-289 ""The Pancreatic Cancer Detection Consortium (U01)""",12/8/2017,,,NCI,NIH,None,NOT-CA-18-029,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-18-029.html
"Notice of NINDS' Participation in PA-18-373 "" Mentored Clinical Scientist Research Career Development Award (Parent K08 - Independent Clinical Trial Not Allowed)""",12/8/2017,,,NINDS,NIH,None,NOT-NS-18-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-18-023.html
